nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual vintage valencia,españa,habitación doble deluxe,1,pareja,muy bien,,,8.0,2023-06-18,muy bien
casual vintage valencia,españa,habitación doble deluxe,2,pareja,muy bien,,,8.0,2023-06-17,muy bien
casual vintage valencia,españa,habitación triple,1,familia,muy bien,,,8.0,2023-06-14,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,familia,fantástico,,,9.0,2023-05-29,muy bien
casual vintage valencia,españa,habitación doble,3,persona que viaja sola,bien,,,7.0,2023-05-20,muy bien
casual vintage valencia,españa,,2,persona que viaja sola,bien,,,7.0,2023-05-19,muy bien
casual vintage valencia,españa,habitación doble,2,persona que viaja sola,muy bien,,,8.0,2023-05-19,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,persona que viaja sola,fantástico,,,9.0,2023-05-15,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,2,pareja,fantástico,,,9.0,2023-05-14,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,2,pareja,muy bien,,,8.0,2023-05-11,muy bien
casual vintage valencia,españa,,1,familia,muy bien,,,8.0,2023-05-06,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,3,persona que viaja sola,muy bien,,,8.0,2023-04-27,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,2,persona que viaja sola,muy bien,,,8.0,2023-04-24,muy bien
casual vintage valencia,españa,habitación doble con terraza,1,persona que viaja sola,fantástico,,,9.0,2023-04-17,muy bien
casual vintage valencia,españa,,3,familia,bien,,,7.0,2025-08-06,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,bien,,,7.0,2025-06-22,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,1,pareja,bien,,,7.0,2025-05-25,muy bien
casual vintage valencia,españa,habitación doble,3,persona que viaja sola,fantástico,,,9.0,2025-05-16,muy bien
casual vintage valencia,españa,habitación doble con terraza,1,pareja,bien,,,7.0,2025-03-09,muy bien
casual vintage valencia,españa,,1,familia,fantástico,,,9.0,2024-07-19,muy bien
casual vintage valencia,españa,habitación doble con balcón - 2 camas,2,pareja,bien,,,7.0,2023-09-11,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,2,familia,muy bien,,,8.0,2023-06-05,muy bien
casual vintage valencia,españa,,1,pareja,muy bien,,,8.0,2026-03-09,muy bien
casual vintage valencia,españa,habitación doble,1,persona que viaja sola,fantástico,,,9.0,2026-02-13,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,1,familia,bien,,,7.0,2025-12-25,muy bien
casual vintage valencia,españa,habitación triple,3,pareja,fantástico,,,9.0,2025-12-09,muy bien
casual vintage valencia,españa,habitación doble - 2 camas,2,pareja,bien,,,7.0,2025-07-06,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,muy bien,,,8.0,2024-11-13,muy bien
casual vintage valencia,españa,habitación triple,2,familia,muy bien,,,8.0,2023-12-06,muy bien
casual vintage valencia,españa,habitación interior individual pequeña,1,persona que viaja sola,fantástico,,,9.0,2023-08-24,muy bien
