nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
the river hostel,españa,litera en habitación compartida mixta de 12 camas,2,persona que viaja sola,fantástico,lo céntrico que está,mucho ruido por la noche,9.0,2023-06-17,muy bien
the river hostel,españa,litera en una habitación compartida femenina,3,persona que viaja sola,bien,"lo que más me gustó la cercanía al casco histórico, y al estar en frente de lo que era el caudal del turia, está genial para hacer otras actividades.",creo que en general no estuvo mal.,7.0,2023-06-09,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,señal de aprobación con la mano,"me enkanta alojarme en el river hostel, tienen flancha del pelo en la mayoria d ls kuartos d baño d xikas, el personal d rezepzion es eszepzional, y siempre resulta muy agradable la estanzia. .","me hubiera gustado kedarme un dia mas, xo no pude reservar xa no kanviar d kama, los prezios van subiendo x k ya ay turismo, y yo suelo ir x nezesidad cara con ojos en blanco",8.0,2023-06-05,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,agradable lastima el recepcionista,"la ubicación, camas bastante amplias y locker con candados incluidos","el chico de recepción solo hablaba ingles y no sabia ni una palabra de español ni estaba interesado en atender , increible que pase esto en españa.",7.0,2023-06-05,muy bien
the river hostel,españa,cama en habitación compartida mixta de 8 camas,1,persona que viaja sola,fantástico,ubicacion,no había sabana encimera,9.0,2023-06-04,muy bien
the river hostel,españa,litera en una habitación compartida femenina,1,persona que viaja sola,fantástico,"está estupendo para gente joven que viaja con mochilas, la cocina muy bien, las zonas comunes estupendas, cerca de todo.",al compartir habitacion cada una entra a una hora diferente y se duerme poco.,9.0,2023-05-28,muy bien
the river hostel,españa,litera en habitación compartida mixta de 12 camas,1,persona que viaja sola,buena relación precio calidad,el personal súper amable.,en general las instalaciones bien. falta un repisa al lado de la cama para apoyar lo más necesario.,8.0,2023-05-26,muy bien
the river hostel,españa,litera en una habitación compartida femenina,1,persona que viaja sola,no quiero puntuar sino viene la gente,esta bien,antiguo,8.0,2023-05-17,muy bien
the river hostel,españa,litera en una habitación compartida femenina,1,persona que viaja sola,curioso,la ubicación y personal,mantenimeinto de las instalacioens en cuanto a higiene,8.0,2023-05-16,muy bien
the river hostel,españa,litera en una habitación compartida femenina,1,pareja,muy bien,calidad  precio,,8.0,2023-05-05,muy bien
the river hostel,españa,cama en habitación compartida mixta de 6 camas,2,grupo,puede mejorar,su ubicación y el personal.,"las condiciones de las habitaciones principalmente, puede mejorar mucho.",8.0,2023-05-04,muy bien
the river hostel,españa,litera en una habitación compartida femenina,2,persona que viaja sola,es posible que repita,las actividades para socializar con otras personas alojadas,,9.0,2023-04-28,muy bien
the river hostel,españa,litera en dormitorio compartido mixto con 10 camas,2,persona que viaja sola,fantástico,todo,la comodidad de la cama,9.0,2023-04-27,muy bien
