web_scraper_start_url,nombre_del_hotel,nombre_usuario,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,nota_personal,nota_confort,nota_wifi,nota_instalaciones_servicios,nota_calidad_precio,nota_limpieza,nota_ubicacion,nota_media_resenas,comentario_media_hotel
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Sergio,España,,2 noches ·,En pareja,Muy bien,El trato del personal. Hubo un problemilla en el check in y lo solucionaron inmediatamente,Teníamos una habitación doble y había montado un plegatín que dejaba muy poco espacio libre,"8,0",Fecha del comentario: 18 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Anna,España,,2 noches ·,En pareja,Cumplió expectativas,El tamaño de la habitación,Debería está incluido el desayuno,"9,0",Fecha del comentario: 17 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Sonia,España,,1 noche ·,En pareja,Bien,El personal de la entrada,Los cristales de la habitación 323 súper sucios y la cama incómoda a gusto personal,"7,0",Fecha del comentario: 15 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Alejandra,España,,2 noches ·,En pareja,Fantástico,"Situado encima de un centro comercial, y justo enfrente de la ciudad de las artes y las ciencias. Hotel cómodo y personal muy agradable",Que no llegue el metro cerca del hotel.,"9,0",Fecha del comentario: 12 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Sandra,Chile,,1 noche ·,En pareja,Fantástico,"Ubicación , amabilidad y súper desayuno",La ducha tenía problemas,"9,0",Fecha del comentario: 11 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Yaiza,España,,4 noches ·,En pareja,Bien pero mucho frío,"El hotel estaba bien calidad precio, me gustó que tuviera bañera y cama de matrimonio.","Eche en falta una pequeña nevera.
En la habitación había un ruido toda la noche que no sé si era del aire o que.
No puedo casi opinar del personal porque apenas cruzamos palabra pero eche en falta a mi llegada que me dieran un mapa y me medio informaran como si hicieron en el ilunion de Bilbao.","9,0",Fecha del comentario: 7 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Cangaro,España,,1 noche ·,Persona que viaja sola,Bien,Ubicacion,La habitacion muy baja la relacion calidad/precio,"7,0",Fecha del comentario: 6 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Angel,España,,1 noche ·,En pareja,Bien,estar ubicado con un centro comercial,"Los baños, puerta de cristal corredera y mal cerramiento en ventanas, se oía mucho el ruido de la calle","7,0",Fecha del comentario: 2 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Maria,España,,1 noche ·,En familia,Bien,Habitación limpia,Se oía ruidos de la calle y el agua de la ducha se salía por el suelo del cuarto de baño,"7,0",Fecha del comentario: 2 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
https://www.booking.com/hotel/es/confortel-aqua-3.es.html?aid=311090&label=hotel-92776-es-cXKHipY3wLMd5wY89%2AyVXgS409839810133%3Apl%3Ata%3Ap1%3Ap21.093.000%3Aac%3Aap%3Aneg%3Afi%3Atikwd-127453743684%3Alp9221648%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YcGt_tphEo8pawEozW2KQ80&sid=afddae5c6fc30453f2483d9a4a11013d&age=0&all_sr_blocks=9277601_385353796_0_2_0_311276&checkin=2026-04-17&checkout=2026-04-18&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=9277601_385353796_0_2_0_311276&hpos=1&matching_block_id=9277601_385353796_0_2_0_311276&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=9277601_385353796_0_2_0_311276_14400&srepoch=1776250057&srpvid=b6dc4be0dcc119d0&type=total&ucfs=1&,Ilunion Aqua 3,Emma,España,,2 noches ·,En familia,"Buena opción, pero para tener paciencia con los ascensores y mejor si no precisas carrito de bebé o silla de ruedas.",Buena ubicación para moverte desde allí. Camas cómodas. Todo limpio. Buena atención.,"El acceso y la dependencia de los ascensores, los cuales o están mal configurados (si eso es posible) o les falta mantenimiento. 
Desde el hall (planta 0) hay que acceder a recepción (planta 4) por 3 ascensores: el de la izquierda no marca el 4, así que ya puedes esperar que alguien llame desde arriba para bajar y así aprovechar tú ese viaje; el de la derecha es el único que baja al parking, pero el botón de llamar para que baje no funciona, nuevamente solo si da la casualidad que está porque sí en la 0 puedes bajar a los sótanos; el del medio solo ara en 0 y 4, pero parece que sí funciona. Ya en el hotel otros ascensores te llevan a las plantas del propio hotel.
El acceso al hall del hotel tampoco está adecuadamente adaptado (me refiero a la acera).","7,0",Fecha del comentario: 1 de marzo de 2026,"8,6","8,2","8,5","7,8","7,6","8,3","9,0","7,9",Bien
